x_min x_max y_min y_max z_min z_max density
853614.000000 853732.125000 987917.625000 987954.625000 1025.000000 1225.000000 -0.300000
853614.000000 853732.125000 987917.625000 987954.625000 1225.000000 1425.000000 -0.300000
853614.000000 853732.125000 987917.625000 987954.625000 1425.000000 1625.000000 -0.300000
853614.000000 853732.125000 987917.625000 987954.625000 1625.000000 1825.000000 -0.300000
853614.000000 853732.125000 987917.625000 987954.625000 1825.000000 2025.000000 -0.300000
853614.000000 853732.125000 987917.625000 987954.625000 2025.000000 2225.000000 -0.300000
853614.000000 853732.125000 987917.625000 987954.625000 2225.000000 2425.000000 -0.300000
853614.000000 853732.125000 987954.625000 987991.625000 825.000000 1025.000000 -0.300000
853614.000000 853732.125000 987954.625000 987991.625000 1025.000000 1225.000000 -0.300000
853614.000000 853732.125000 987954.625000 987991.625000 1225.000000 1425.000000 -0.300000
853614.000000 853732.125000 987954.625000 987991.625000 1425.000000 1625.000000 -0.300000
853614.000000 853732.125000 987954.625000 987991.625000 1625.000000 1825.000000 -0.300000
853614.000000 853732.125000 987954.625000 987991.625000 1825.000000 2025.000000 -0.300000
853614.000000 853732.125000 987954.625000 987991.625000 2025.000000 2225.000000 -0.300000
853614.000000 853732.125000 987954.625000 987991.625000 2225.000000 2425.000000 -0.300000
853614.000000 853732.125000 987991.625000 988028.625000 825.000000 1025.000000 -0.300000
853614.000000 853732.125000 987991.625000 988028.625000 1025.000000 1225.000000 -0.300000
853614.000000 853732.125000 987991.625000 988028.625000 1225.000000 1425.000000 -0.300000
853614.000000 853732.125000 987991.625000 988028.625000 1425.000000 1625.000000 -0.300000
853614.000000 853732.125000 987991.625000 988028.625000 1625.000000 1825.000000 -0.300000
853614.000000 853732.125000 987991.625000 988028.625000 1825.000000 2025.000000 -0.300000
853614.000000 853732.125000 987991.625000 988028.625000 2025.000000 2225.000000 -0.300000
853614.000000 853732.125000 987991.625000 988028.625000 2225.000000 2425.000000 -0.300000
853614.000000 853732.125000 988028.625000 988065.625000 825.000000 1025.000000 -0.300000
853614.000000 853732.125000 988028.625000 988065.625000 1025.000000 1225.000000 -0.300000
853614.000000 853732.125000 988028.625000 988065.625000 1225.000000 1425.000000 -0.300000
853614.000000 853732.125000 988028.625000 988065.625000 1425.000000 1625.000000 -0.300000
853614.000000 853732.125000 988028.625000 988065.625000 1625.000000 1825.000000 -0.300000
853614.000000 853732.125000 988028.625000 988065.625000 1825.000000 2025.000000 -0.300000
853614.000000 853732.125000 988028.625000 988065.625000 2025.000000 2225.000000 -0.300000
853614.000000 853732.125000 988028.625000 988065.625000 2225.000000 2425.000000 -0.300000
853614.000000 853732.125000 988065.625000 988102.625000 825.000000 1025.000000 -0.300000
853614.000000 853732.125000 988065.625000 988102.625000 1025.000000 1225.000000 -0.300000
853614.000000 853732.125000 988065.625000 988102.625000 1225.000000 1425.000000 -0.300000
853614.000000 853732.125000 988065.625000 988102.625000 1425.000000 1625.000000 -0.300000
853614.000000 853732.125000 988065.625000 988102.625000 1625.000000 1825.000000 -0.300000
853614.000000 853732.125000 988065.625000 988102.625000 1825.000000 2025.000000 -0.300000
853614.000000 853732.125000 988065.625000 988102.625000 2025.000000 2225.000000 -0.300000
853614.000000 853732.125000 988065.625000 988102.625000 2225.000000 2425.000000 -0.300000
853614.000000 853732.125000 988102.625000 988139.625000 425.000000 625.000000 -0.020000
853614.000000 853732.125000 988102.625000 988139.625000 825.000000 1025.000000 -0.300000
853614.000000 853732.125000 988102.625000 988139.625000 1025.000000 1225.000000 -0.300000
853614.000000 853732.125000 988102.625000 988139.625000 1225.000000 1425.000000 -0.300000
853614.000000 853732.125000 988102.625000 988139.625000 1425.000000 1625.000000 -0.300000
853614.000000 853732.125000 988102.625000 988139.625000 1625.000000 1825.000000 -0.300000
853614.000000 853732.125000 988102.625000 988139.625000 1825.000000 2025.000000 -0.300000
853614.000000 853732.125000 988102.625000 988139.625000 2025.000000 2225.000000 -0.300000
853614.000000 853732.125000 988102.625000 988139.625000 2225.000000 2425.000000 -0.300000
853614.000000 853732.125000 988139.625000 988176.625000 1025.000000 1225.000000 -0.300000
853614.000000 853732.125000 988139.625000 988176.625000 1225.000000 1425.000000 -0.300000
853614.000000 853732.125000 988139.625000 988176.625000 1425.000000 1625.000000 -0.300000
853614.000000 853732.125000 988139.625000 988176.625000 1625.000000 1825.000000 -0.300000
853614.000000 853732.125000 988139.625000 988176.625000 1825.000000 2025.000000 -0.300000
853614.000000 853732.125000 988139.625000 988176.625000 2025.000000 2225.000000 -0.300000
853614.000000 853732.125000 988139.625000 988176.625000 2225.000000 2425.000000 -0.300000
853614.000000 853732.125000 988176.625000 988213.625000 1025.000000 1225.000000 -0.300000
853614.000000 853732.125000 988176.625000 988213.625000 1225.000000 1425.000000 -0.300000
853614.000000 853732.125000 988176.625000 988213.625000 1425.000000 1625.000000 -0.300000
853614.000000 853732.125000 988176.625000 988213.625000 1625.000000 1825.000000 -0.300000
853614.000000 853732.125000 988176.625000 988213.625000 1825.000000 2025.000000 -0.300000
853614.000000 853732.125000 988176.625000 988213.625000 2025.000000 2225.000000 -0.300000
853614.000000 853732.125000 988176.625000 988213.625000 2225.000000 2425.000000 -0.300000
853614.000000 853732.125000 988213.625000 988250.625000 625.000000 825.000000 -0.020000
853614.000000 853732.125000 988213.625000 988250.625000 825.000000 1025.000000 -0.150000
853614.000000 853732.125000 988213.625000 988250.625000 1025.000000 1225.000000 -0.300000
853614.000000 853732.125000 988213.625000 988250.625000 1225.000000 1425.000000 -0.300000
853614.000000 853732.125000 988213.625000 988250.625000 1425.000000 1625.000000 -0.300000
853614.000000 853732.125000 988213.625000 988250.625000 1625.000000 1825.000000 -0.300000
853614.000000 853732.125000 988213.625000 988250.625000 1825.000000 2025.000000 -0.300000
853614.000000 853732.125000 988213.625000 988250.625000 2025.000000 2225.000000 -0.300000
853614.000000 853732.125000 988213.625000 988250.625000 2225.000000 2425.000000 -0.300000
853614.000000 853732.125000 988250.625000 988287.625000 625.000000 825.000000 -0.020000
853614.000000 853732.125000 988250.625000 988287.625000 1025.000000 1225.000000 -0.300000
853614.000000 853732.125000 988250.625000 988287.625000 1225.000000 1425.000000 -0.300000
853614.000000 853732.125000 988250.625000 988287.625000 1425.000000 1625.000000 -0.300000
853614.000000 853732.125000 988250.625000 988287.625000 1625.000000 1825.000000 -0.300000
853614.000000 853732.125000 988250.625000 988287.625000 1825.000000 2025.000000 -0.300000
853614.000000 853732.125000 988250.625000 988287.625000 2025.000000 2225.000000 -0.300000
853614.000000 853732.125000 988250.625000 988287.625000 2225.000000 2425.000000 -0.300000
853614.000000 853732.125000 988287.625000 988324.625000 625.000000 825.000000 -0.020000
853614.000000 853732.125000 988287.625000 988324.625000 825.000000 1025.000000 -0.100000
853614.000000 853732.125000 988287.625000 988324.625000 1025.000000 1225.000000 -0.300000
853614.000000 853732.125000 988287.625000 988324.625000 1225.000000 1425.000000 -0.300000
853614.000000 853732.125000 988287.625000 988324.625000 1425.000000 1625.000000 -0.300000
853614.000000 853732.125000 988287.625000 988324.625000 1625.000000 1825.000000 -0.300000
853614.000000 853732.125000 988287.625000 988324.625000 1825.000000 2025.000000 -0.300000
853614.000000 853732.125000 988287.625000 988324.625000 2025.000000 2225.000000 -0.300000
853614.000000 853732.125000 988287.625000 988324.625000 2225.000000 2425.000000 -0.300000
853614.000000 853732.125000 988324.625000 988361.625000 625.000000 825.000000 -0.020000
853614.000000 853732.125000 988324.625000 988361.625000 825.000000 1025.000000 -0.100000
853614.000000 853732.125000 988324.625000 988361.625000 1025.000000 1225.000000 -0.300000
853614.000000 853732.125000 988324.625000 988361.625000 1225.000000 1425.000000 -0.300000
853614.000000 853732.125000 988324.625000 988361.625000 1425.000000 1625.000000 -0.300000
853614.000000 853732.125000 988324.625000 988361.625000 1625.000000 1825.000000 -0.300000
853614.000000 853732.125000 988324.625000 988361.625000 1825.000000 2025.000000 -0.300000
853614.000000 853732.125000 988324.625000 988361.625000 2025.000000 2225.000000 -0.300000
853614.000000 853732.125000 988324.625000 988361.625000 2225.000000 2425.000000 -0.300000
853614.000000 853732.125000 988361.625000 988417.125000 625.000000 825.000000 -0.020000
853614.000000 853732.125000 988361.625000 988417.125000 825.000000 1025.000000 -0.100000
853614.000000 853732.125000 988361.625000 988417.125000 1025.000000 1225.000000 -0.150000
853614.000000 853732.125000 988361.625000 988417.125000 1225.000000 1425.000000 -0.300000
853614.000000 853732.125000 988361.625000 988417.125000 1425.000000 1625.000000 -0.300000
853614.000000 853732.125000 988361.625000 988417.125000 1625.000000 1825.000000 -0.300000
853614.000000 853732.125000 988361.625000 988417.125000 1825.000000 2025.000000 -0.300000
853614.000000 853732.125000 988361.625000 988417.125000 2025.000000 2225.000000 -0.300000
853614.000000 853732.125000 988361.625000 988417.125000 2225.000000 2425.000000 -0.300000
853614.000000 853732.125000 988417.125000 988500.375000 825.000000 1025.000000 -0.020000
853614.000000 853732.125000 988417.125000 988500.375000 1225.000000 1425.000000 -0.150000
853614.000000 853732.125000 988417.125000 988500.375000 1625.000000 1825.000000 -0.300000
853614.000000 853732.125000 988417.125000 988500.375000 1825.000000 2025.000000 -0.300000
853614.000000 853732.125000 988417.125000 988500.375000 2025.000000 2225.000000 -0.300000
853614.000000 853732.125000 988417.125000 988500.375000 2225.000000 2425.000000 -0.300000
853614.000000 853732.125000 988500.375000 988625.250000 1425.000000 1625.000000 -0.150000
853614.000000 853732.125000 988500.375000 988625.250000 1625.000000 1825.000000 -0.150000
853614.000000 853732.125000 988500.375000 988625.250000 1825.000000 2025.000000 -0.150000
853614.000000 853732.125000 988500.375000 988625.250000 2025.000000 2225.000000 -0.300000
853614.000000 853732.125000 988500.375000 988625.250000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 987543.000000 987667.875000 625.000000 825.000000 -0.020000
853732.125000 853810.875000 987543.000000 987667.875000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 987543.000000 987667.875000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 987543.000000 987667.875000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 987543.000000 987667.875000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 987543.000000 987667.875000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 987543.000000 987667.875000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 987543.000000 987667.875000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 987543.000000 987667.875000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 987667.875000 987751.125000 425.000000 625.000000 -0.020000
853732.125000 853810.875000 987667.875000 987751.125000 625.000000 825.000000 -0.100000
853732.125000 853810.875000 987667.875000 987751.125000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 987667.875000 987751.125000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 987667.875000 987751.125000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 987667.875000 987751.125000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 987667.875000 987751.125000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 987667.875000 987751.125000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 987667.875000 987751.125000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 987667.875000 987751.125000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 987751.125000 987806.625000 425.000000 625.000000 -0.020000
853732.125000 853810.875000 987751.125000 987806.625000 625.000000 825.000000 -0.100000
853732.125000 853810.875000 987751.125000 987806.625000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 987751.125000 987806.625000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 987751.125000 987806.625000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 987751.125000 987806.625000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 987751.125000 987806.625000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 987751.125000 987806.625000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 987751.125000 987806.625000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 987751.125000 987806.625000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 987806.625000 987843.625000 425.000000 625.000000 -0.020000
853732.125000 853810.875000 987806.625000 987843.625000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 987806.625000 987843.625000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 987806.625000 987843.625000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 987806.625000 987843.625000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 987806.625000 987843.625000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 987806.625000 987843.625000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 987806.625000 987843.625000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 987806.625000 987843.625000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 987843.625000 987880.625000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 987843.625000 987880.625000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 987843.625000 987880.625000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 987843.625000 987880.625000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 987843.625000 987880.625000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 987843.625000 987880.625000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 987843.625000 987880.625000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 987843.625000 987880.625000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 987880.625000 987917.625000 225.000000 425.000000 -0.020000
853732.125000 853810.875000 987880.625000 987917.625000 425.000000 625.000000 -0.100000
853732.125000 853810.875000 987880.625000 987917.625000 625.000000 825.000000 -0.300000
853732.125000 853810.875000 987880.625000 987917.625000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 987880.625000 987917.625000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 987880.625000 987917.625000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 987880.625000 987917.625000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 987880.625000 987917.625000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 987880.625000 987917.625000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 987880.625000 987917.625000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 987880.625000 987917.625000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 987917.625000 987954.625000 225.000000 425.000000 -0.020000
853732.125000 853810.875000 987917.625000 987954.625000 425.000000 625.000000 -0.100000
853732.125000 853810.875000 987917.625000 987954.625000 625.000000 825.000000 -0.300000
853732.125000 853810.875000 987917.625000 987954.625000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 987917.625000 987954.625000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 987917.625000 987954.625000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 987917.625000 987954.625000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 987917.625000 987954.625000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 987917.625000 987954.625000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 987917.625000 987954.625000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 987917.625000 987954.625000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 987954.625000 987991.625000 225.000000 425.000000 -0.020000
853732.125000 853810.875000 987954.625000 987991.625000 425.000000 625.000000 -0.100000
853732.125000 853810.875000 987954.625000 987991.625000 625.000000 825.000000 -0.300000
853732.125000 853810.875000 987954.625000 987991.625000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 987954.625000 987991.625000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 987954.625000 987991.625000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 987954.625000 987991.625000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 987954.625000 987991.625000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 987954.625000 987991.625000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 987954.625000 987991.625000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 987954.625000 987991.625000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 987991.625000 988028.625000 225.000000 425.000000 -0.020000
853732.125000 853810.875000 987991.625000 988028.625000 425.000000 625.000000 -0.100000
853732.125000 853810.875000 987991.625000 988028.625000 625.000000 825.000000 -0.300000
853732.125000 853810.875000 987991.625000 988028.625000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 987991.625000 988028.625000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 987991.625000 988028.625000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 987991.625000 988028.625000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 987991.625000 988028.625000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 987991.625000 988028.625000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 987991.625000 988028.625000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 987991.625000 988028.625000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 988028.625000 988065.625000 225.000000 425.000000 -0.020000
853732.125000 853810.875000 988028.625000 988065.625000 425.000000 625.000000 -0.100000
853732.125000 853810.875000 988028.625000 988065.625000 625.000000 825.000000 -0.300000
853732.125000 853810.875000 988028.625000 988065.625000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 988028.625000 988065.625000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 988028.625000 988065.625000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 988028.625000 988065.625000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 988028.625000 988065.625000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 988028.625000 988065.625000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 988028.625000 988065.625000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 988028.625000 988065.625000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 988065.625000 988102.625000 225.000000 425.000000 -0.020000
853732.125000 853810.875000 988065.625000 988102.625000 425.000000 625.000000 -0.100000
853732.125000 853810.875000 988065.625000 988102.625000 625.000000 825.000000 -0.300000
853732.125000 853810.875000 988065.625000 988102.625000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 988065.625000 988102.625000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 988065.625000 988102.625000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 988065.625000 988102.625000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 988065.625000 988102.625000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 988065.625000 988102.625000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 988065.625000 988102.625000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 988065.625000 988102.625000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 988102.625000 988139.625000 225.000000 425.000000 -0.020000
853732.125000 853810.875000 988102.625000 988139.625000 425.000000 625.000000 -0.100000
853732.125000 853810.875000 988102.625000 988139.625000 625.000000 825.000000 -0.300000
853732.125000 853810.875000 988102.625000 988139.625000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 988102.625000 988139.625000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 988102.625000 988139.625000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 988102.625000 988139.625000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 988102.625000 988139.625000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 988102.625000 988139.625000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 988102.625000 988139.625000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 988102.625000 988139.625000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 988139.625000 988176.625000 225.000000 425.000000 -0.020000
853732.125000 853810.875000 988139.625000 988176.625000 425.000000 625.000000 -0.100000
853732.125000 853810.875000 988139.625000 988176.625000 625.000000 825.000000 -0.300000
853732.125000 853810.875000 988139.625000 988176.625000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 988139.625000 988176.625000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 988139.625000 988176.625000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 988139.625000 988176.625000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 988139.625000 988176.625000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 988139.625000 988176.625000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 988139.625000 988176.625000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 988139.625000 988176.625000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 988176.625000 988213.625000 225.000000 425.000000 -0.020000
853732.125000 853810.875000 988176.625000 988213.625000 425.000000 625.000000 -0.100000
853732.125000 853810.875000 988176.625000 988213.625000 625.000000 825.000000 -0.300000
853732.125000 853810.875000 988176.625000 988213.625000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 988176.625000 988213.625000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 988176.625000 988213.625000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 988176.625000 988213.625000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 988176.625000 988213.625000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 988176.625000 988213.625000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 988176.625000 988213.625000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 988176.625000 988213.625000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 988213.625000 988250.625000 225.000000 425.000000 -0.020000
853732.125000 853810.875000 988213.625000 988250.625000 425.000000 625.000000 -0.100000
853732.125000 853810.875000 988213.625000 988250.625000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 988213.625000 988250.625000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 988213.625000 988250.625000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 988213.625000 988250.625000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 988213.625000 988250.625000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 988213.625000 988250.625000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 988213.625000 988250.625000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 988213.625000 988250.625000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 988250.625000 988287.625000 225.000000 425.000000 -0.020000
853732.125000 853810.875000 988250.625000 988287.625000 425.000000 625.000000 -0.100000
853732.125000 853810.875000 988250.625000 988287.625000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 988250.625000 988287.625000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 988250.625000 988287.625000 1225.000000 1425.000000 -0.300000
853732.125000 853810.875000 988250.625000 988287.625000 1425.000000 1625.000000 -0.300000
853732.125000 853810.875000 988250.625000 988287.625000 1625.000000 1825.000000 -0.300000
853732.125000 853810.875000 988250.625000 988287.625000 1825.000000 2025.000000 -0.300000
853732.125000 853810.875000 988250.625000 988287.625000 2025.000000 2225.000000 -0.300000
853732.125000 853810.875000 988250.625000 988287.625000 2225.000000 2425.000000 -0.300000
853732.125000 853810.875000 988287.625000 988324.625000 225.000000 425.000000 -0.020000
853732.125000 853810.875000 988287.625000 988324.625000 425.000000 625.000000 -0.100000
853732.125000 853810.875000 988287.625000 988324.625000 625.000000 825.000000 -0.100000
853732.125000 853810.875000 988287.625000 988324.625000 825.000000 1025.000000 -0.300000
853732.125000 853810.875000 988287.625000 988324.625000 1025.000000 1225.000000 -0.300000
853732.125000 853810.875000 988287.625000 988324.625000 1225.000000 1425.000000 -0.300000
